TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
NVTK,D,20190103,000000,1131.9000000,1131.9000000,1111.0000000,1118.2000000,417580
NVTK,D,20190104,000000,1118.0000000,1140.8000000,1118.0000000,1138.8000000,416390
NVTK,D,20190108,000000,1138.9000000,1138.9000000,1117.1000000,1118.2000000,465990
NVTK,D,20190109,000000,1125.2000000,1136.3000000,1119.0000000,1121.0000000,501300
NVTK,D,20190110,000000,1125.0000000,1132.9000000,1114.1000000,1132.5000000,417660
NVTK,D,20190111,000000,1133.5000000,1137.7000000,1123.3000000,1129.4000000,511450
NVTK,D,20190114,000000,1126.1000000,1133.0000000,1118.7000000,1128.9000000,474340
NVTK,D,20190115,000000,1132.0000000,1146.5000000,1120.5000000,1130.8000000,609740
NVTK,D,20190116,000000,1131.9000000,1135.9000000,1123.5000000,1124.9000000,456700
NVTK,D,20190117,000000,1127.2000000,1135.0000000,1120.1000000,1127.5000000,537420
NVTK,D,20190118,000000,1130.0000000,1132.5000000,1122.3000000,1130.0000000,496790
NVTK,D,20190121,000000,1133.0000000,1137.7000000,1121.4000000,1122.0000000,413050
NVTK,D,20190122,000000,1121.4000000,1127.4000000,1110.6000000,1116.4000000,403710
NVTK,D,20190123,000000,1122.0000000,1125.9000000,1116.3000000,1124.0000000,312300
NVTK,D,20190124,000000,1118.7000000,1120.8000000,1082.1000000,1098.3000000,947130
NVTK,D,20190125,000000,1104.0000000,1120.0000000,1100.8000000,1115.0000000,549140
NVTK,D,20190128,000000,1115.9000000,1122.6000000,1112.1000000,1118.6000000,417220
NVTK,D,20190129,000000,1120.8000000,1138.3000000,1118.5000000,1133.5000000,589750
NVTK,D,20190130,000000,1133.7000000,1148.8000000,1128.1000000,1139.3000000,457790
NVTK,D,20190131,000000,1145.4000000,1157.7000000,1134.6000000,1145.0000000,578480
NVTK,D,20190201,000000,1143.6000000,1145.2000000,1125.0000000,1125.2000000,564350
NVTK,D,20190204,000000,1125.0000000,1142.6000000,1117.6000000,1138.0000000,475660
NVTK,D,20190205,000000,1138.0000000,1147.0000000,1131.0000000,1143.4000000,379660
NVTK,D,20190206,000000,1145.8000000,1149.4000000,1125.4000000,1126.4000000,383850
NVTK,D,20190207,000000,1126.0000000,1133.6000000,1120.2000000,1130.0000000,486730
