TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
YNDX,D,20190515,000000,2301.2000000,2325.4000000,2245.6000000,2312.0000000,191541
YNDX,D,20190516,000000,2329.2000000,2401.8000000,2325.2000000,2392.0000000,188407
YNDX,D,20190517,000000,2395.8000000,2434.6000000,2355.2000000,2425.0000000,157550
YNDX,D,20190520,000000,2447.6000000,2449.4000000,2377.2000000,2407.8000000,122137
YNDX,D,20190521,000000,2398.0000000,2414.8000000,2378.2000000,2392.4000000,128354
YNDX,D,20190522,000000,2400.0000000,2432.0000000,2380.8000000,2424.8000000,137889
YNDX,D,20190523,000000,2406.6000000,2415.0000000,2361.8000000,2365.0000000,111066
YNDX,D,20190524,000000,2365.4000000,2392.0000000,2362.2000000,2383.4000000,90446
YNDX,D,20190527,000000,2393.4000000,2409.0000000,2393.4000000,2404.6000000,35498
YNDX,D,20190528,000000,2405.0000000,2409.8000000,2240.2000000,2280.2000000,653351
YNDX,D,20190529,000000,2300.0000000,2368.0000000,2222.0000000,2350.2000000,479703
YNDX,D,20190530,000000,2357.0000000,2379.8000000,2346.4000000,2379.6000000,131106
YNDX,D,20190531,000000,2360.0000000,2362.2000000,2325.6000000,2336.6000000,119997
YNDX,D,20190603,000000,2333.0000000,2350.0000000,2292.4000000,2319.0000000,202643
YNDX,D,20190604,000000,2318.4000000,2344.0000000,2283.8000000,2341.0000000,252932
YNDX,D,20190605,000000,2353.2000000,2364.0000000,2340.0000000,2361.0000000,166289
YNDX,D,20190606,000000,2365.0000000,2394.2000000,2355.6000000,2389.0000000,136459
YNDX,D,20190607,000000,2404.0000000,2447.8000000,2396.0000000,2418.6000000,195828
YNDX,D,20190610,000000,2422.0000000,2444.8000000,2402.6000000,2435.0000000,136456
YNDX,D,20190611,000000,2438.2000000,2510.6000000,2435.2000000,2494.8000000,298615
YNDX,D,20190613,000000,2485.6000000,2514.4000000,2475.2000000,2492.0000000,159106
YNDX,D,20190614,000000,2489.0000000,2499.4000000,2456.0000000,2465.0000000,103515
YNDX,D,20190617,000000,2459.8000000,2478.0000000,2445.0000000,2455.8000000,141639
YNDX,D,20190618,000000,2457.0000000,2498.0000000,2455.4000000,2480.2000000,93539
YNDX,D,20190619,000000,2488.4000000,2500.0000000,2470.0000000,2470.2000000,83183
YNDX,D,20190620,000000,2485.4000000,2531.6000000,2472.0000000,2492.8000000,430723
YNDX,D,20190621,000000,2487.6000000,2488.8000000,2463.0000000,2468.4000000,100132
YNDX,D,20190624,000000,2465.4000000,2484.8000000,2448.0000000,2452.6000000,80765
YNDX,D,20190625,000000,2446.8000000,2459.2000000,2415.0000000,2424.6000000,112543
YNDX,D,20190626,000000,2398.4000000,2432.8000000,2382.4000000,2391.6000000,373316
YNDX,D,20190627,000000,2390.4000000,2416.2000000,2372.0000000,2410.0000000,208834
YNDX,D,20190628,000000,2436.2000000,2447.6000000,2378.0000000,2405.4000000,198344
YNDX,D,20190701,000000,2424.0000000,2499.0000000,2415.8000000,2482.4000000,274260
YNDX,D,20190702,000000,2481.8000000,2520.0000000,2452.4000000,2491.2000000,197214
YNDX,D,20190703,000000,2502.6000000,2520.0000000,2495.4000000,2505.4000000,152205
YNDX,D,20190704,000000,2497.0000000,2499.4000000,2480.2000000,2494.8000000,52998
YNDX,D,20190705,000000,2493.6000000,2499.8000000,2451.0000000,2481.4000000,118816
YNDX,D,20190708,000000,2488.6000000,2499.0000000,2458.0000000,2465.0000000,115399
YNDX,D,20190709,000000,2456.2000000,2479.8000000,2436.2000000,2478.0000000,121774
YNDX,D,20190710,000000,2495.0000000,2527.8000000,2490.6000000,2500.2000000,200703
YNDX,D,20190711,000000,2508.6000000,2524.6000000,2486.0000000,2495.0000000,121545
YNDX,D,20190712,000000,2509.4000000,2590.0000000,2507.4000000,2573.0000000,311283
YNDX,D,20190715,000000,2568.4000000,2574.2000000,2535.2000000,2546.4000000,195439
YNDX,D,20190716,000000,2539.8000000,2568.2000000,2517.2000000,2542.6000000,163769
YNDX,D,20190717,000000,2550.0000000,2560.0000000,2505.2000000,2509.2000000,123619
YNDX,D,20190718,000000,2498.0000000,2507.2000000,2480.0000000,2489.8000000,139618
YNDX,D,20190719,000000,2506.0000000,2554.0000000,2500.2000000,2518.0000000,168952
YNDX,D,20190722,000000,2491.0000000,2495.0000000,2470.0000000,2486.0000000,172286
YNDX,D,20190723,000000,2495.8000000,2509.8000000,2482.4000000,2482.8000000,95804
YNDX,D,20190724,000000,2497.2000000,2518.0000000,2482.6000000,2507.0000000,109920
YNDX,D,20190725,000000,2524.0000000,2547.0000000,2432.2000000,2461.6000000,524436
YNDX,D,20190726,000000,2456.0000000,2679.0000000,2420.0000000,2520.0000000,1640954
YNDX,D,20190729,000000,2438.6000000,2497.6000000,2390.0000000,2441.0000000,1634132
YNDX,D,20190730,000000,2486.6000000,2547.0000000,2466.4000000,2480.4000000,1272478
YNDX,D,20190731,000000,2481.4000000,2503.2000000,2455.2000000,2490.0000000,400780
YNDX,D,20190801,000000,2488.6000000,2567.2000000,2475.6000000,2550.6000000,412251
YNDX,D,20190802,000000,2489.8000000,2514.8000000,2450.2000000,2470.0000000,445899
YNDX,D,20190805,000000,2449.0000000,2449.8000000,2357.0000000,2369.6000000,537160
YNDX,D,20190806,000000,2380.0000000,2434.0000000,2374.0000000,2413.0000000,378334
YNDX,D,20190807,000000,2420.0000000,2440.0000000,2383.0000000,2428.8000000,273663
YNDX,D,20190808,000000,2417.2000000,2432.0000000,2406.0000000,2413.2000000,203771
YNDX,D,20190809,000000,2420.4000000,2425.0000000,2404.0000000,2405.0000000,116311
YNDX,D,20190812,000000,2411.6000000,2428.0000000,2398.2000000,2410.0000000,109618
YNDX,D,20190813,000000,2384.6000000,2446.8000000,2373.6000000,2428.0000000,300721
YNDX,D,20190814,000000,2440.0000000,2440.0000000,2365.8000000,2374.0000000,254600
YNDX,D,20190815,000000,2390.0000000,2395.0000000,2351.0000000,2365.4000000,225504
YNDX,D,20190816,000000,2375.0000000,2397.0000000,2351.2000000,2394.0000000,130444
YNDX,D,20190819,000000,2420.4000000,2454.0000000,2402.0000000,2424.0000000,328823
YNDX,D,20190820,000000,2437.0000000,2453.2000000,2420.2000000,2438.4000000,126107
YNDX,D,20190821,000000,2435.0000000,2443.0000000,2415.6000000,2421.2000000,165203
YNDX,D,20190822,000000,2412.0000000,2417.0000000,2385.0000000,2399.0000000,166095
YNDX,D,20190823,000000,2404.0000000,2423.0000000,2386.0000000,2391.0000000,163956
YNDX,D,20190826,000000,2379.8000000,2405.0000000,2361.0000000,2394.4000000,163458
YNDX,D,20190827,000000,2394.0000000,2437.0000000,2394.0000000,2429.8000000,158268
YNDX,D,20190828,000000,2431.0000000,2434.8000000,2410.0000000,2434.0000000,168439
YNDX,D,20190829,000000,2423.0000000,2444.8000000,2417.2000000,2441.0000000,275717
YNDX,D,20190830,000000,2443.4000000,2470.0000000,2443.4000000,2462.8000000,162123
YNDX,D,20190902,000000,2464.8000000,2485.0000000,2464.8000000,2469.8000000,51471
YNDX,D,20190903,000000,2473.4000000,2497.0000000,2446.2000000,2487.0000000,247804
YNDX,D,20190904,000000,2486.8000000,2498.0000000,2469.2000000,2487.0000000,134711
YNDX,D,20190905,000000,2500.6000000,2515.0000000,2463.6000000,2509.2000000,230474
YNDX,D,20190906,000000,2515.0000000,2519.6000000,2491.4000000,2503.6000000,144379
YNDX,D,20190909,000000,2508.8000000,2520.0000000,2464.0000000,2466.0000000,163273
YNDX,D,20190910,000000,2464.0000000,2474.8000000,2432.2000000,2450.2000000,213741
YNDX,D,20190911,000000,2456.4000000,2482.6000000,2453.2000000,2466.2000000,176894
YNDX,D,20190912,000000,2466.8000000,2474.8000000,2449.4000000,2457.0000000,133655
YNDX,D,20190913,000000,2455.0000000,2459.0000000,2434.4000000,2453.0000000,122047
YNDX,D,20190916,000000,2449.0000000,2449.8000000,2430.0000000,2447.6000000,166674
YNDX,D,20190917,000000,2447.8000000,2459.8000000,2435.0000000,2438.4000000,175776
YNDX,D,20190918,000000,2439.2000000,2452.2000000,2430.6000000,2432.0000000,296993
YNDX,D,20190919,000000,2419.8000000,2426.0000000,2398.2000000,2407.4000000,351370
YNDX,D,20190920,000000,2409.6000000,2413.8000000,2350.2000000,2350.2000000,577563
YNDX,D,20190923,000000,2343.8000000,2349.8000000,2305.2000000,2342.2000000,440267
YNDX,D,20190924,000000,2304.8000000,2344.8000000,2292.0000000,2301.4000000,430626
YNDX,D,20190925,000000,2309.8000000,2329.8000000,2281.6000000,2322.4000000,283383
YNDX,D,20190926,000000,2332.0000000,2355.0000000,2317.0000000,2319.6000000,255030
YNDX,D,20190927,000000,2323.8000000,2339.8000000,2308.0000000,2315.8000000,136519
YNDX,D,20190930,000000,2310.0000000,2311.8000000,2254.0000000,2263.4000000,371926
YNDX,D,20191001,000000,2274.6000000,2319.8000000,2272.0000000,2287.0000000,308984
YNDX,D,20191002,000000,2284.0000000,2294.8000000,2235.0000000,2250.0000000,254586
YNDX,D,20191003,000000,2234.2000000,2283.2000000,2207.6000000,2265.0000000,345593
YNDX,D,20191004,000000,2280.2000000,2288.8000000,2256.2000000,2274.4000000,236654
